Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,033106,2008,02,29.2,Y
IDCJAC0002,033106,2008,03,26.5,Y
IDCJAC0002,033106,2008,04,25.6,Y
IDCJAC0002,033106,2008,05,23.8,Y
IDCJAC0002,033106,2008,06,22.5,Y
IDCJAC0002,033106,2008,07,21.2,Y
IDCJAC0002,033106,2008,08,21.1,Y
IDCJAC0002,033106,2008,09,24.8,Y
IDCJAC0002,033106,2008,10,27.0,Y
IDCJAC0002,033106,2008,11,29.8,Y
IDCJAC0002,033106,2008,12,31.2,Y
IDCJAC0002,033106,2009,01,29.4,Y
IDCJAC0002,033106,2009,02,28.5,Y
IDCJAC0002,033106,2009,03,27.9,Y
IDCJAC0002,033106,2009,04,27.5,Y
IDCJAC0002,033106,2009,05,23.9,Y
IDCJAC0002,033106,2009,06,22.9,Y
IDCJAC0002,033106,2009,07,21.9,Y
IDCJAC0002,033106,2009,08,24.2,Y
IDCJAC0002,033106,2009,09,26.5,Y
IDCJAC0002,033106,2009,10,27.7,Y
IDCJAC0002,033106,2009,11,27.8,Y
IDCJAC0002,033106,2009,12,29.8,Y
IDCJAC0002,033106,2010,01,29.2,Y
IDCJAC0002,033106,2010,02,29.7,Y
IDCJAC0002,033106,2010,03,29.0,Y
IDCJAC0002,033106,2010,04,26.9,Y
IDCJAC0002,033106,2010,05,24.7,Y
IDCJAC0002,033106,2010,06,21.9,Y
IDCJAC0002,033106,2010,07,22.0,Y
IDCJAC0002,033106,2010,08,23.3,Y
IDCJAC0002,033106,2010,09,26.0,Y
IDCJAC0002,033106,2010,10,26.1,Y
IDCJAC0002,033106,2010,11,26.5,Y
IDCJAC0002,033106,2010,12,28.8,Y
IDCJAC0002,033106,2011,01,29.3,Y
IDCJAC0002,033106,2011,02,29.2,Y
IDCJAC0002,033106,2011,03,28.4,Y
IDCJAC0002,033106,2011,04,25.7,Y
IDCJAC0002,033106,2011,05,22.8,Y
IDCJAC0002,033106,2011,06,20.9,Y
IDCJAC0002,033106,2011,07,20.4,Y
IDCJAC0002,033106,2011,08,22.0,Y
IDCJAC0002,033106,2011,09,23.7,Y
IDCJAC0002,033106,2011,10,26.9,Y
IDCJAC0002,033106,2011,11,28.4,Y
IDCJAC0002,033106,2011,12,29.6,Y
IDCJAC0002,033106,2012,01,29.5,Y
IDCJAC0002,033106,2012,02,30.0,Y
IDCJAC0002,033106,2012,03,28.5,Y
IDCJAC0002,033106,2012,04,26.5,Y
IDCJAC0002,033106,2012,05,23.6,Y
IDCJAC0002,033106,2012,06,21.4,Y
IDCJAC0002,033106,2012,07,20.0,Y
IDCJAC0002,033106,2012,08,21.7,Y
IDCJAC0002,033106,2012,09,24.8,Y
IDCJAC0002,033106,2012,10,26.5,Y
IDCJAC0002,033106,2012,11,28.5,Y
IDCJAC0002,033106,2012,12,29.6,Y
IDCJAC0002,033106,2013,01,30.4,Y
IDCJAC0002,033106,2013,02,29.4,Y
IDCJAC0002,033106,2013,03,27.8,Y
IDCJAC0002,033106,2013,04,26.5,Y
IDCJAC0002,033106,2013,05,24.6,Y
IDCJAC0002,033106,2013,06,22.2,Y
IDCJAC0002,033106,2013,07,21.8,Y
IDCJAC0002,033106,2013,08,23.7,Y
IDCJAC0002,033106,2013,09,26.5,Y
IDCJAC0002,033106,2013,10,28.1,Y
IDCJAC0002,033106,2013,11,29.0,Y
IDCJAC0002,033106,2013,12,29.3,Y
IDCJAC0002,033106,2014,01,29.6,Y
IDCJAC0002,033106,2014,02,28.9,Y
IDCJAC0002,033106,2014,03,27.5,Y
IDCJAC0002,033106,2014,04,27.4,Y
IDCJAC0002,033106,2014,05,24.8,Y
IDCJAC0002,033106,2014,06,22.6,Y
IDCJAC0002,033106,2014,07,21.3,Y
IDCJAC0002,033106,2014,08,22.1,Y
IDCJAC0002,033106,2014,09,25.0,Y
IDCJAC0002,033106,2014,10,26.9,Y
IDCJAC0002,033106,2014,11,28.9,Y
IDCJAC0002,033106,2014,12,30.5,Y
IDCJAC0002,033106,2015,01,30.7,Y
IDCJAC0002,033106,2015,02,29.7,Y
IDCJAC0002,033106,2015,03,30.0,Y
IDCJAC0002,033106,2015,04,27.7,Y
IDCJAC0002,033106,2015,05,24.8,Y
IDCJAC0002,033106,2015,06,22.9,Y
IDCJAC0002,033106,2015,07,21.1,Y
IDCJAC0002,033106,2015,08,22.8,Y
IDCJAC0002,033106,2015,09,25.3,Y
IDCJAC0002,033106,2015,10,26.4,Y
IDCJAC0002,033106,2015,11,29.4,Y
IDCJAC0002,033106,2015,12,30.1,Y
IDCJAC0002,033106,2016,01,30.8,Y
IDCJAC0002,033106,2016,02,30.6,Y
IDCJAC0002,033106,2016,03,29.1,Y
IDCJAC0002,033106,2016,04,27.5,Y
IDCJAC0002,033106,2016,05,26.5,Y
IDCJAC0002,033106,2016,06,24.0,Y
IDCJAC0002,033106,2016,07,22.6,Y
IDCJAC0002,033106,2016,08,22.7,Y
IDCJAC0002,033106,2016,09,25.9,Y
IDCJAC0002,033106,2016,10,27.1,Y
IDCJAC0002,033106,2016,11,29.1,Y
IDCJAC0002,033106,2016,12,30.0,Y
IDCJAC0002,033106,2017,01,30.3,Y
IDCJAC0002,033106,2017,02,30.5,Y
IDCJAC0002,033106,2017,03,30.2,Y
IDCJAC0002,033106,2017,04,26.1,Y
IDCJAC0002,033106,2017,05,24.0,Y
IDCJAC0002,033106,2017,06,21.8,Y
IDCJAC0002,033106,2017,07,23.3,Y
IDCJAC0002,033106,2017,08,24.4,Y
IDCJAC0002,033106,2017,09,26.4,Y
IDCJAC0002,033106,2017,10,27.6,Y
IDCJAC0002,033106,2017,11,28.1,Y
IDCJAC0002,033106,2017,12,29.9,Y
IDCJAC0002,033106,2018,01,30.8,Y
IDCJAC0002,033106,2018,02,30.1,Y
IDCJAC0002,033106,2018,03,28.6,Y
IDCJAC0002,033106,2018,04,26.4,Y
IDCJAC0002,033106,2018,05,23.7,Y
IDCJAC0002,033106,2018,06,21.7,Y
IDCJAC0002,033106,2018,07,21.9,Y
IDCJAC0002,033106,2018,08,23.5,Y
IDCJAC0002,033106,2018,09,25.6,Y
IDCJAC0002,033106,2018,10,27.7,Y
IDCJAC0002,033106,2018,11,29.6,Y
IDCJAC0002,033106,2018,12,29.1,Y
IDCJAC0002,033106,2019,01,28.6,Y
IDCJAC0002,033106,2019,02,29.0,Y
IDCJAC0002,033106,2019,03,29.5,Y
IDCJAC0002,033106,2019,04,26.8,Y
IDCJAC0002,033106,2019,05,24.3,Y
IDCJAC0002,033106,2019,06,21.4,Y
IDCJAC0002,033106,2019,07,21.1,Y
IDCJAC0002,033106,2019,08,22.4,Y
IDCJAC0002,033106,2019,09,25.0,Y
